character,action,zeroindex
9,322,False
9,323,False
9,324,False
9,29,False
9,42,False
9,15,False
9,16,False
9,17,False
9,182,False
9,233,False
9,14,False
9,341,False
9,342,False
9,343,False
9,77,False
9,56,False
9,24,False
9,26,False
9,67,False
9,39,False
9,244,True
9,27,False
9,32,False
9,18,False
9,28,False
9,69,False
9,25,False
9,40,False
9,179,False
9,20,False
9,74,False
9,90,False
9,183,False
9,184,False
9,186,False
9,44,False
9,38,False
9,191,False
9,192,False
9,194,False
9,180,True
9,178,False
9,236,False
9,43,False
9,360,False
9,361,False
9,363,False
9,57,False
9,41,False
9,68,False
9,66,False
9,71,False
9,63,False
9,350,False
9,351,False
9,352,False
9,35,False
9,0,False
9,12,False
