character,action,frame,hitbox_1_status,hitbox_1_size,hitbox_1_x,hitbox_1_y,hitbox_2_status,hitbox_2_size,hitbox_2_x,hitbox_2_y,hitbox_3_status,hitbox_3_size,hitbox_3_x,hitbox_3_y,hitbox_4_status,hitbox_4_size,hitbox_4_x,hitbox_4_y,locomotion_x,locomotion_y,iasa,facing_changed,projectile
character,action,frame,hitbox_1_status,hitbox_1_size,hitbox_1_x,hitbox_1_y,hitbox_2_status,hitbox_2_size,hitbox_2_x,hitbox_2_y,hitbox_3_status,hitbox_3_size,hitbox_3_x,hitbox_3_y,hitbox_4_status,hitbox_4_size,hitbox_4_x,hitbox_4_y,locomotion_x,locomotion_y,iasa,facing_changed,projectile
character,action,frame,hitbox_1_status,hitbox_1_size,hitbox_1_x,hitbox_1_y,hitbox_2_status,hitbox_2_size,hitbox_2_x,hitbox_2_y,hitbox_3_status,hitbox_3_size,hitbox_3_x,hitbox_3_y,hitbox_4_status,hitbox_4_size,hitbox_4_x,hitbox_4_y,locomotion_x,locomotion_y,iasa,facing_changed,projectile
10,43,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.2695152759552002,False,False,False
10,43,4,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,1.0261283023282886e-07,False,False,False
10,43,7,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
10,43,10,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
10,43,13,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,True
10,43,16,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
10,43,19,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
10,43,22,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
10,43,25,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
10,43,28,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
10,68,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,3.450000286102295,False,False,False
10,68,2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,3.2200002670288086,False,False,False
10,68,3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,2.989999771118164,False,False,False
10,68,4,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,2.7599992752075195,False,False,False
10,68,5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,2.530000686645508,False,False,False
10,68,6,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,2.299999237060547,False,False,False
10,68,7,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,2.0699996948242188,False,False,False
10,68,8,True,4.296599864959717,-3.7242428958415985,12.498706817626953,True,4.296599864959717,-5.0394048392772675,13.521995544433594,True,4.296599864959717,-2.06938835978508,12.781139373779297,False,0,0,0,0,1.8400001525878906,False,False,False
10,68,9,True,4.296599864959717,-0.02941933274269104,15.770977020263672,True,4.296599864959717,-0.18133199214935303,18.004505157470703,True,4.296599864959717,0.7710356414318085,14.050556182861328,False,0,0,0,0,1.6100006103515625,False,False,False
10,68,10,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.3799991607666016,False,False,False
10,68,11,True,3.659921884536743,-1.223860502243042,12.274971008300781,True,4.882499694824219,-1.66806960105896,14.418254852294922,True,4.882499694824219,0.6105855703353882,8.892524719238281,False,0,0,0,0,1.1499996185302734,False,False,False
10,68,12,True,3.659921884536743,-0.2990306615829468,13.189783096313477,True,4.882499694824219,0.06712165474891663,15.685445785522461,True,4.882499694824219,0.6596100330352783,9.082586288452148,False,0,0,0,0,0.9200000762939453,False,False,False
10,68,13,True,3.659921884536743,0.2864021062850952,13.07242202758789,True,4.882499694824219,1.126183569431305,14.867687225341797,True,4.882499694824219,0.6484847664833069,9.097702026367188,False,0,0,0,0,0.6900005340576172,False,False,False
