character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
character,action,zeroindex
11,322,False
11,323,True
11,324,False
11,29,True
11,14,True
11,15,False
11,20,False
11,21,True
11,42,True
11,24,True
11,25,True
11,357,False
11,43,True
11,77,False
11,27,True
11,86,False
11,356,False
11,68,False
11,73,True
11,67,False
11,72,True
11,26,True
11,90,False
11,38,True
11,66,False
11,71,True
11,28,True
11,362,False
11,363,True
11,364,True
11,0,False
11,12,True
11,245,True
11,358,False
11,359,True
11,360,True
